# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
3530 1.49977 14.5295
3540 1.49957 14.5298
3550 1.49928 14.5301
3560 1.50261 14.5304
3570 1.51808 14.5306
3580 1.51064 14.5308
3590 1.5062 14.5308
3600 1.5064 14.5309
3610 1.50835 14.5309
3620 1.50941 14.5309
3630 1.5131 14.5309
3640 1.52551 14.5309
3650 1.51749 14.5309
3660 1.51596 14.531
3670 1.5205 14.5311
3680 1.51774 14.5312
3690 1.51063 14.5312
3700 1.51187 14.5311
3710 1.5051 14.531
3720 1.50473 14.531
3730 1.50533 14.531
3740 1.49319 14.531
3750 1.4986 14.531
3760 1.50682 14.5309
3770 1.508 14.5307
3780 1.50026 14.5306
3790 1.50452 14.5306
3800 1.50599 14.5306
3810 1.51682 14.5306
3820 1.50809 14.5305
3830 1.50614 14.5304
3840 1.50137 14.5303
3850 1.5082 14.5301
3860 1.51624 14.53
3870 1.51154 14.53
3880 1.51611 14.5299
3890 1.50602 14.5297
3900 1.50021 14.5296
3910 1.5038 14.5295
3920 1.48984 14.5294
3930 1.48492 14.5294
3940 1.50117 14.5294
3950 1.49724 14.5294
3960 1.49173 14.5294
3970 1.49287 14.5294
3980 1.49986 14.5294
3990 1.49715 14.5293
4000 1.49515 14.5293
4010 1.49621 14.5291
4020 1.49468 14.529
4030 1.49868 14.5289
4040 1.49366 14.5288
4050 1.48755 14.5287
4060 1.49338 14.5285
4070 1.49269 14.5285
4080 1.50292 14.5284
4090 1.49824 14.5283
4100 1.50253 14.5281
4110 1.50741 14.528
4120 1.50805 14.5277
4130 1.50881 14.5275
4140 1.51696 14.5272
4150 1.52405 14.5269
4160 1.51426 14.5266
4170 1.50522 14.5264
4180 1.50034 14.5262
4190 1.50066 14.526
4200 1.49351 14.5259
4210 1.49039 14.5258
4220 1.49125 14.5258
4230 1.49129 14.5257
4240 1.50075 14.5257
4250 1.49608 14.5257
4260 1.4943 14.5256
4270 1.49358 14.5256
4280 1.48848 14.5257
4290 1.47995 14.5258
4300 1.47855 14.5259
4310 1.48948 14.5261
4320 1.5013 14.5263
4330 1.50661 14.5264
4340 1.51347 14.5265
4350 1.51173 14.5266
4360 1.50587 14.5268
4370 1.5098 14.527
4380 1.5111 14.5272
4390 1.50172 14.5274
4400 1.50039 14.5276
4410 1.49091 14.5278
4420 1.49116 14.528
4430 1.49159 14.5282
4440 1.48639 14.5286
4450 1.47961 14.5289
4460 1.46377 14.5291
4470 1.46429 14.5293
4480 1.46458 14.5296
4490 1.46482 14.5297
4500 1.46612 14.53
4510 1.46698 14.5303
4520 1.46618 14.5306
4530 1.4715 14.5309
4540 1.46467 14.5312
4550 1.47514 14.5315
4560 1.48092 14.5317
4570 1.4924 14.532
4580 1.49116 14.5322
4590 1.48628 14.5324
4600 1.49353 14.5326
4610 1.49376 14.5329
4620 1.4899 14.533
4630 1.49384 14.5331
4640 1.48374 14.5333
4650 1.48859 14.5334
4660 1.48622 14.5336
4670 1.49362 14.5337
4680 1.49165 14.5337
4690 1.49582 14.5339
4700 1.48569 14.534
4710 1.47884 14.5341
4720 1.48653 14.5341
4730 1.48442 14.534
4740 1.47765 14.5339
4750 1.47873 14.5337
4760 1.48161 14.5337
4770 1.48124 14.5337
4780 1.49338 14.5337
4790 1.49645 14.5336
4800 1.49601 14.5336
4810 1.49411 14.5335
4820 1.49598 14.5336
4830 1.49589 14.5336
4840 1.50208 14.5337
4850 1.4842 14.5339
4860 1.49426 14.534
4870 1.50002 14.5341
4880 1.49141 14.5343
4890 1.49802 14.5345
4900 1.49636 14.5348
4910 1.49327 14.5349
4920 1.48025 14.5351
4930 1.48053 14.5352
4940 1.47893 14.5353
4950 1.47583 14.5354
4960 1.46785 14.5354
4970 1.4739 14.5355
4980 1.47574 14.5355
4990 1.47754 14.5355
5000 1.47701 14.5356
5010 1.47869 14.5358
5020 1.47721 14.5359
5030 1.48346 14.536
5040 1.47613 14.5362
5050 1.46978 14.5363
5060 1.46676 14.5365
5070 1.48242 14.5366
5080 1.4875 14.5366
5090 1.47881 14.5365
5100 1.48451 14.5365
5110 1.50358 14.5365
5120 1.50386 14.5366
5130 1.49879 14.5366
5140 1.51148 14.5367
5150 1.50448 14.5367
5160 1.49031 14.5368
5170 1.50143 14.5367
5180 1.50766 14.5367
5190 1.50939 14.5366
5200 1.51416 14.5365
5210 1.51912 14.5365
5220 1.52779 14.5364
5230 1.53138 14.5364
5240 1.51515 14.5364
5250 1.51455 14.5364
5260 1.49922 14.5364
5270 1.50359 14.5363
5280 1.49609 14.5362
5290 1.49537 14.5362
5300 1.50233 14.5362
5310 1.50589 14.5362
5320 1.50736 14.5362
5330 1.50979 14.5361
5340 1.52291 14.5362
5350 1.52197 14.5362
5360 1.52934 14.5361
5370 1.5353 14.5361
5380 1.52088 14.5361
5390 1.51344 14.5361
5400 1.5034 14.5361
5410 1.50524 14.536
5420 1.50046 14.5359
5430 1.49095 14.5358
5440 1.50311 14.5356
5450 1.50436 14.5356
5460 1.51182 14.5355
5470 1.51478 14.5355
5480 1.504 14.5354
5490 1.51382 14.5353
5500 1.50329 14.5352
5510 1.5115 14.5352
5520 1.50888 14.5351
5530 1.51807 14.5351
5540 1.50772 14.535
5550 1.51451 14.535
5560 1.52029 14.535
5570 1.51704 14.5349
5580 1.52058 14.5349
5590 1.51722 14.5348
5600 1.49349 14.5347
5610 1.49359 14.5345
5620 1.50822 14.5343
5630 1.50499 14.534
5640 1.50378 14.5338
5650 1.5061 14.5336
5660 1.51332 14.5333
5670 1.50863 14.5331
5680 1.50075 14.533
5690 1.49954 14.5329
5700 1.5 14.5328
5710 1.48861 14.5328
5720 1.49012 14.5328
5730 1.48327 14.5326
5740 1.48211 14.5325
5750 1.48143 14.5323
5760 1.47783 14.5321
5770 1.47708 14.5319
5780 1.47613 14.5318
5790 1.47094 14.5317
5800 1.47337 14.5317
5810 1.47338 14.5317
5820 1.48019 14.5319
5830 1.48134 14.532
5840 1.48348 14.532
5850 1.47575 14.5321
