# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
9020 1.50196 14.5291
9030 1.52878 14.5288
9040 1.51284 14.5287
9050 1.48849 14.5283
9060 1.51475 14.528
9070 1.49641 14.5279
9080 1.4938 14.5278
9090 1.47607 14.5277
9100 1.51258 14.5276
9110 1.50944 14.5276
9120 1.48564 14.5278
9130 1.50174 14.5279
9140 1.49936 14.528
9150 1.51253 14.5281
9160 1.49 14.5281
9170 1.4752 14.528
9180 1.51224 14.5279
9190 1.51358 14.5279
9200 1.5011 14.5278
9210 1.49338 14.5279
9220 1.48994 14.528
9230 1.51321 14.528
9240 1.52788 14.5282
9250 1.50305 14.5284
9260 1.50678 14.5286
9270 1.48785 14.5287
9280 1.46821 14.5287
9290 1.47561 14.5286
9300 1.47439 14.5285
9310 1.46822 14.5285
9320 1.47697 14.5286
9330 1.49081 14.5286
9340 1.51701 14.5286
9350 1.51276 14.5285
9360 1.51227 14.5283
9370 1.49994 14.5281
9380 1.51722 14.5281
9390 1.50807 14.528
9400 1.51914 14.5278
9410 1.48499 14.5277
9420 1.47603 14.5277
9430 1.48553 14.5278
9440 1.48242 14.5277
9450 1.48918 14.5277
9460 1.46677 14.5276
9470 1.51311 14.5276
9480 1.52735 14.5275
9490 1.50694 14.5275
9500 1.48776 14.5273
9510 1.49356 14.527
9520 1.50517 14.5268
9530 1.46931 14.5267
9540 1.50796 14.5267
9550 1.5159 14.5266
9560 1.48225 14.5264
9570 1.48429 14.5263
9580 1.49879 14.5263
9590 1.52317 14.5264
9600 1.50474 14.5267
9610 1.49209 14.5269
9620 1.51058 14.5271
9630 1.50149 14.5275
9640 1.52032 14.5277
9650 1.5281 14.5278
9660 1.52998 14.5277
9670 1.50728 14.5278
9680 1.49322 14.5277
9690 1.49877 14.5275
9700 1.49999 14.5272
9710 1.50551 14.5269
9720 1.51528 14.5267
9730 1.50839 14.5265
9740 1.50492 14.5263
9750 1.48629 14.5261
9760 1.51344 14.5261
9770 1.49862 14.5262
9780 1.51952 14.5263
9790 1.5181 14.5264
9800 1.47101 14.5265
9810 1.49621 14.5264
9820 1.51357 14.5265
9830 1.49747 14.5264
9840 1.48132 14.5264
9850 1.49646 14.5265
9860 1.51147 14.5265
9870 1.52979 14.5262
9880 1.519 14.5263
9890 1.49771 14.5264
9900 1.51237 14.5264
9910 1.50432 14.5266
9920 1.49815 14.5267
9930 1.53356 14.5268
9940 1.5254 14.5267
9950 1.54563 14.5267
9960 1.51441 14.5269
